Name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Scottie Pippen,18,18,41.2,6.2,15.9,0.39,1.7,5.8,0.286,4.6,10.1,0.451,0.443,2.8,4.4,0.638,3.4,5.1,8.5,5.9,2.6,0.9,2.3,2.8,16.9
Michael Jordan,18,18,40.7,10.4,22.6,0.459,1.4,3.4,0.403,9,19.2,0.47,0.49,8.5,10.4,0.818,1.7,3.2,4.9,4.1,1.8,0.3,2.3,2.7,30.7
Dennis Rodman,18,15,34.4,2.8,5.7,0.485,0,0,,2.8,5.7,0.485,0.485,1.9,3.3,0.593,5.4,8.3,13.7,2.1,0.8,0.4,2.3,4.2,7.5
Toni Kukoč,15,5,29.3,3.9,10.1,0.391,0.9,4.5,0.191,3.1,5.5,0.554,0.434,2.1,2.5,0.838,1.3,2.9,4.2,3.9,0.9,0.3,1.7,2.2,10.8
Ron Harper,18,16,27.4,3.2,7.4,0.425,0.8,2.6,0.319,2.3,4.8,0.483,0.481,1.6,2.3,0.69,1.4,2.3,3.7,2.5,1.4,0.4,1,2.1,8
,,,,,,,,,,,,,,,,,,,,,,,,,
Name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Draymond Green,23,23,38.2,5.2,12,0.431,1.7,4.5,0.365,3.5,7.5,0.471,0.5,3.4,4.7,0.738,1.7,8.3,9.9,6,1.6,1.8,2.4,3.5,15.4
Klay Thompson,24,24,35.4,8.4,18.9,0.444,4.1,9.6,0.424,4.3,9.3,0.464,0.552,3.4,4,0.854,0.6,3,3.7,2.3,1.1,0.4,2,2.2,24.3
Stephen Curry,18,17,34.1,8.2,18.8,0.438,4.4,11,0.404,3.8,7.8,0.486,0.556,4.2,4.6,0.916,0.8,4.7,5.5,5.2,1.4,0.3,4.2,2.2,25.1
Andre Iguodala,24,3,32,3.3,6.8,0.476,1,2.7,0.385,2.2,4.1,0.535,0.552,1.3,2.4,0.561,1.5,2.9,4.4,3.8,1.2,0.4,1,1.5,8.9
Harrison Barnes,24,23,31,3.4,8.9,0.385,1.1,3.2,0.342,2.3,5.7,0.409,0.446,1.1,1.4,0.765,1.1,3.5,4.7,1.3,0.7,0.2,0.8,1.9,9
